Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3
Dotsub,"=HYPERLINK(""http://dotsub.com"")",+1 (212) 991-8685,"=HYPERLINK(""https://www.google.com/maps/preview/place/'360 East 72nd St #C3104  New York'"")",info@dotsub.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+dotsub"")",Laurie Racine,Founder & President,Michael Smolens,Founder & Chairman of the Board,David Orban,CEO
Monitor110,"=HYPERLINK(""http://www.monitor110.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'58 E 11th St. 3rd Flr. New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+monitor110"")",W. Brennan Carley,CEO,Roger Ehrenberg,Chairman and Co-Founder,Roger Ehrenberg,"Co-Founder, Chairman"
Vivisimo,"=HYPERLINK(""http://vivisimo.com"")",+1-412-422-2499,"=HYPERLINK(""https://www.google.com/maps/preview/place/'304 Park Avenue South 11th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+vivsimo"")",John Kealey,CEO,Raul Valdes-Perez,Chairman,Jerome Pesenti,Chief Scientist
Maestro,"=HYPERLINK(""http://www.maestro.fm"")",404.783.1663,"=HYPERLINK(""https://www.google.com/maps/preview/place/'626 Hudson Street Apt. 1 New York'"")",info@maestro.fm,"=HYPERLINK(""https://www.google.com/search?q='management+team'+maestro"")",Daniel Escobar,CTO,Clarkson Logan,CEO,Greg Shrader,COO
Path101,"=HYPERLINK(""http://www.path101.com"")",646.233.2101,"=HYPERLINK(""https://www.google.com/maps/preview/place/'Path 101 c/o Return Path 304 Park Avenue South, 7th Floor New York'"")",us@path101.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+path101"")",Alex Lines,"Co-Founder, CTO",Joshua Stylman,Investor,John Clark,Investor
Athena Archiver,"=HYPERLINK(""http://www.athenaarchiver.com"")",888.613.9400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'130 West 29th Street 6th Floor New York'"")",Sales@athenaarchiver.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+athena-archiver"")", ,"", ,"", ,""
"LendKey Technologies, Inc.","=HYPERLINK(""http://www.lendkey.com"")",800-881-8985,"=HYPERLINK(""https://www.google.com/maps/preview/place/'224 West 30th St, Suite 604  New York'"")",partners@fynanz.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+lendkey-technologies-inc"")",Vince Passione,CEO,Chirag Chaman,President & Founder,Anoop Thyagarajan,CTO
Adconion Media Group,"=HYPERLINK(""http://www.adconion.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'26 West 17th Street 9th Floor New York'"")",info-us@adconion.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+adconion-media-group"")",Kim Reed Perell,CEO,Tyler Moebius,CEO & Founder,Bruce Wiseman,"Chief Operating Officer, Global"
Shvoong,"=HYPERLINK(""http://www.shvoong.com"")",+1 (212) 837 7709,"=HYPERLINK(""https://www.google.com/maps/preview/place/'80 Broad Street, 5th Floor,  New York'"")",english@shvoong.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+shvoong"")",Eyal Rivlin,CEO,Muli Lahav,SVP Marketing and Biz dev, ,""
On Demand Books,"=HYPERLINK(""http://www.ondemandbooks.com/home.htm"")",212.966.2222,"=HYPERLINK(""https://www.google.com/maps/preview/place/'584 Broadway, Suite 1100  New York'"")",info@ondemandbooks.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+on-demand-books"")", ,"", ,"", ,""
Greater Than One,"=HYPERLINK(""http://www.greaterthanone.com"")",212-252-1999 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'395 Hudson Street 4th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+greater-than-one"")",Rajiv Doshi,Email Marketing Coordinator, ,"", ,""
Networked Insights,"=HYPERLINK(""http://networkedinsights.com"")",608.237.1867,"=HYPERLINK(""https://www.google.com/maps/preview/place/'277 5th Avenue 6th Floor New York'"")",info@networkedinsights.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+networked-insights"")",Dan Neely,Founder and Chief Executive Officer,Gerry Komlofske,Chief Operating Officer,Paul Dunay,Chief Marketing Officer (CMO)
The Orchard,"=HYPERLINK(""http://www.theorchard.com"")",212-201-9280,"=HYPERLINK(""https://www.google.com/maps/preview/place/'23 E. 4th St. 3rd Fl. New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+the-orchard"")",Brad Navin,CEO,Colleen Theis,COO,Richard Gottehrer,"Founder, Chief Creative Officer"
Reprise Media,"=HYPERLINK(""http://www.reprisemedia.com"")",(800) 218-9476,"=HYPERLINK(""https://www.google.com/maps/preview/place/'55 5th. Ave. 16th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+reprise-media"")",Ruth Nightengale,VP of Account Management,Joel Lapp,EVP of Account  Services,John Chan,VP of Media
ContentNext Media,"=HYPERLINK(""http://www.contentnext.com"")",323-306-4321,"=HYPERLINK(""https://www.google.com/maps/preview/place/'49 West 27th Street 10th Fl. West New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+contentnext-media"")",Caroline Little,Chief Executive Officer,Rafat Ali,Chief Editor & Publisher,Staci D. Kramer,Co-Editor and EVP
iCrossing,"=HYPERLINK(""http://www.icrossing.com"")",1.866.620.3780 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'200 Park Avenue South  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+icrossing"")",Don Scales,President & Chief Executive Officer,Michael Gullaksen,"Senior Vice President, Search",Shoshana Zilberberg-Winter,"SVP, Strategy and Planning"
GoCrossCampus,"=HYPERLINK(""http://gocrosscampus.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'c/o Sunshine Suites 419 Lafayette Street New York'"")",contact@gocrosscampus.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+gocrosscampus"")",Jeffrey Reitman,Co-Founder & CTO,Isaac Silverman,"Co-Founder, CDO",Gerardo Giacoman,Director of User Experience and Product Development
CLEAR,"=HYPERLINK(""http://www.clearme.com/index.html"")",(855) 253-2763,"=HYPERLINK(""https://www.google.com/maps/preview/place/'595 Madison Avenue  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+clearme"")",Caryn Seidman-Becker,Chairman and CEO,Ken Cornick,Co-Founder and CFO,Steven Brill,Founder and CEO
WebCollage,"=HYPERLINK(""http://www.webcollage.com"")",1.212.563.2112.,"=HYPERLINK(""https://www.google.com/maps/preview/place/'462 Seventh Avenue, 9th Floor  New York'"")",info@webcollage.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+webcollage"")",Scott Matthews,CEO,Raviv Shefet,CFO,Peter Green,VP of Sales
Trendrr,"=HYPERLINK(""http://www.trendrr.com"")",212-242-3400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'580 Broadway Suite 210 New York'"")",bizdev@trendrr.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+trendrr"")",Mark Ghuneim,"Founder, CEO",Dustin Norlander,Chief Architect,Garett Press,Online Marketing Coordinator
Twistage,"=HYPERLINK(""http://www.twistage.com"")",646-825-5700,"=HYPERLINK(""https://www.google.com/maps/preview/place/'29 Broadway 30th Floor New York'"")",sales@twistage.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+twistage-inc"")", ,"", ,"", ,""
Digital Railroad,"=HYPERLINK(""http://digitalrailroad.net"")",212.253.8100,"=HYPERLINK(""https://www.google.com/maps/preview/place/'116 E 16th Street 12th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+digital-railroad"")",Charles Mauzy,CEO,Tom Grina,CFO,Mark Ippolito,VP of Marketing and Sales
Weplay,"=HYPERLINK(""http://www.weplay.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'156a Reade St  New York'"")",support@weplay.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+weplay"")",Lane Soelberg,CEO,Joey Aghion,Steward of Software,Brendan Dempsey,Content and Community Manager
Business Insider,"=HYPERLINK(""http://www.businessinsider.com"")",646-484-6453,"=HYPERLINK(""https://www.google.com/maps/preview/place/'257 Park Ave South  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+business-insider"")",Henry Blodget,"CEO, Co-Founder & Editor in Chief",Pete Spande,Chief Revenue Officer,Roger Ehrenberg,Investor
Zemanta,"=HYPERLINK(""http://www.zemanta.com"")",+38631565846,"=HYPERLINK(""https://www.google.com/maps/preview/place/'33 West 17th St Suite 903 New York'"")",info@zemanta.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+zemanta"")",Todd Sawicki,CEO,Bostjan Spetic,Co-Founder & CEO,Ales Spetic,Chairman
Social Sauce,"=HYPERLINK(""http://www.sosauce.com"")",917.338.6225,"=HYPERLINK(""https://www.google.com/maps/preview/place/'213 W. 35th St. Suite 806 New York'"")",sean@sosauce.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+social-sauce"")", ,"", ,"", ,""
Perfect Market,"=HYPERLINK(""http://www.perfectmarket.com"")",626-229-3024,"=HYPERLINK(""https://www.google.com/maps/preview/place/'44 West 28th Street  New York'"")",info@perfectmarket.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+perfect-market"")",Julie Schoenfeld,CEO & President,Tim Ruder,Chief Revenue Officer,Steve Walker,Chief Operating Officer
Bango,"=HYPERLINK(""http://www.bango.com"")", +44 1223 472 777,"=HYPERLINK(""https://www.google.com/maps/preview/place/'20 West 22nd Street Suite 906 New York'"")",sales@bango.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bango"")",Ray Anderson,CEO and Founder,Tim Moss,Chief Data Officer,Andy Bovingon,VP Product Marketing
Allopass,"=HYPERLINK(""http://www.allopass.com"")",15252545140032322,"=HYPERLINK(""https://www.google.com/maps/preview/place/'101 5th Ave 9th Floor New York'"")",contact@allopass.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+allopass"")",Mikel Lekaroz,COO Allopass Spain,Nils Winkler,COO Allopass Germany/Austria/Switzerland,David Cohen,COO Allopass France
Game Trust,"=HYPERLINK(""http://gametrust.com"")",212-367-7336,"=HYPERLINK(""https://www.google.com/maps/preview/place/'135 West 20th Street 5th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+game-trust"")",Adeo Ressi,CEO,Scott Cohen,President,Jonathan Greechan,Director of Content & Marketing
MacAndrews & Forbes Holdings,"=HYPERLINK(""http://www.macandrewsandforbes.com"")",212-572-8600,"=HYPERLINK(""https://www.google.com/maps/preview/place/'35 East 62nd Street  New York'"")",ctaylor@mafgrp.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+macandrews-forbes-holdings"")",Scott Cohen,Director, ,"", ,""
FeedBackFX,"=HYPERLINK(""http://www.feedbackfx.com"")",212-799-4079,"=HYPERLINK(""https://www.google.com/maps/preview/place/'303 Park Avenue South Suite 1029 New York'"")",sales@feedbackfx.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+feedbackfx"")",Philippe Chambadal,Chairman,Igor Ulis,CEO,Mike Grushin,CIO
Bonobos,"=HYPERLINK(""http://www.bonobos.com"")",8772947737,"=HYPERLINK(""https://www.google.com/maps/preview/place/'45 West 25th Street 5th Floor New York'"")",info@bonobos.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bonobos"")",Andy Dunn,CEO & Founder,Jonathan Czaja,Chief Operating Officer,Bryan Wolff,CFO
Cellufun,"=HYPERLINK(""http://www.cellufun.com"")",+1.347.620.4154,"=HYPERLINK(""https://www.google.com/maps/preview/place/'33 West 19th Street Suite 329 New York'"")",info@cellufun.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+cellufun"")",Arthur Goikhman,"Founder, CEO",Steve Dacek,Co-Founder and COO,Stephen Dacek,"Founder, COO"
Spongecell,"=HYPERLINK(""http://www.spongecell.com"")",1-888-680-7999 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'261 Madison Avenue, 14th Floor  New York'"")",pr@spongecell.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+spongecell"")",Ben Kartzman,Chief Executive Officer,Russell Richardson,VP ENGINEERING,Chris Hobbs,SVP STRATEGIC SOLUTIONS
Meck Technology,"=HYPERLINK(""http://www.mecktechnology.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'560 West 43rd St #6D  New York'"")",info@findntell.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+meck-technology"")", ,"", ,"", ,""
Familybuilder,"=HYPERLINK(""http://livefamily.com"")",(212) 755-3850,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 East 60th Street, 6th Fl.  New York'"")",ilya@familybuilder.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+familybuilder"")",Andrew Merkatz,Chairman & Co-Founder,David Blinder,CTO,Steve Schlenker,Board Member
Find&Tell,"=HYPERLINK(""http://www.findntell.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'560 West 43rd St #6D  New York'"")",info@findntell.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+find-tell"")",Eugene Kang,President, ,"", ,""
WebMD,"=HYPERLINK(""http://www.webmd.com"")",212-624-3700,"=HYPERLINK(""https://www.google.com/maps/preview/place/'111 8th Ave 7th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+webmd"")",David J. Schlanger,CEO,Bruce Springer,"co-founder, Chief Operating Officer and Executive Vice President",Martin J. Wygod,Chairman of the Board of Directors
Undertone,"=HYPERLINK(""http://www.undertone.com"")",(212) 685-8000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'340 Madison 8th Floor New York'"")",info@undertone.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+undertone"")",Michael Cassidy,Founder and CEO,Marc Ellenbogen,General Counsel & Chief Compliance Officer,Corey Ferengul,COO
GroupSpaces,"=HYPERLINK(""http://groupspaces.com"")",+44 (0)20 7193 5063,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@groupspaces.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+groupspaces"")",Andy Young,Co-Founder & CEO,Simon Levene,"Investor, Board Observer",David Langer,"Co-Founder, NED"
South Park Studios,"=HYPERLINK(""http://southparkstudios.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'1775 Broadway  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+south-park-studios"")", ,"", ,"", ,""
Agoracom,"=HYPERLINK(""http://agoracom.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'420 Lexington Avenue Suite 2620 New York'"")",info@agoracom.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+agoracom"")",George Tsiolis,Founder, ,"", ,""
LimeWire,"=HYPERLINK(""http://www.limewire.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+lime-wire"")",Mark Gorton,Chairman,Zeeshan Zaidi,Chief Operating Officer and Head of Global,John Pavley,VP Engineering
Odeo,"=HYPERLINK(""http://odeo.com"")",646-452-4417,"=HYPERLINK(""https://www.google.com/maps/preview/place/'500 Fifth Avenue Suite 1650 New York'"")",copyright@odeo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+odeo"")",Dick Moore,CEO,Noah Glass,Co-Founder,Evan Williams,Founder
Cellfish,"=HYPERLINK(""http://www.Cellfish.com"")",212-767-5200,"=HYPERLINK(""https://www.google.com/maps/preview/place/'215 Lexington Avenue  New York'"")",general@cellfishmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+cellfish-media"")",Val Katayev,"CEO, ToneMedia",Nicolas d'Hueppe,"CEO, Cellfish Europe",Fabrice Sergent,Founder and CEO
Huddle,"=HYPERLINK(""http://www.huddle.com"")",(415) 376 0870,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1115 Broadway 11th Floor New York'"")",sales@huddle.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+huddle"")",Alastair Mitchell,Cofounder & CEO,Chris Boorman,CMO,Andy McLoughlin,Cofounder & EVP Strategy
SearchForce,"=HYPERLINK(""http://www.searchforce.com"")",6502358777,"=HYPERLINK(""https://www.google.com/maps/preview/place/'27 West 24th St.  New York'"")",agregg@searchforce.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+searchforce"")",Dhiren DSouza,"CEO, President & Co-Founder",Juan Lin,Chief Scientist,Santhosh Nair,Chief Technology Officer
1938 Media,"=HYPERLINK(""http://www.1938media.com"")",(917) 407-7600,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@1938media.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+1938-media"")",Loren Feldman,Founder, ,"", ,""
Velocix,"=HYPERLINK(""http://velocix.com"")",+1 415 367 3660,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1230 Avenue of the Americas  New York'"")",info@velocix.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+velocix"")",BOB LINDSEY,"VP, Operations",PETER BEECROFT,"VP, Product Line Management",PAUL LARBEY,General Manager
Edistorm,"=HYPERLINK(""http://www.edistorm.com"")",1-855-storm55,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@edistorm.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+edistorm"")",Reg Cheramy,Founder,Jonathan Colton,Chief Marketing Officer, ,""
Advent Software,"=HYPERLINK(""http://www.advent.com"")",+1 (415) 543-7696,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1114 Avenue of the Americas 33rd Floor New York'"")",info@advent.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+advent-software"")",Stephanie G. DiMarco,"Founder and Strategic Advisor, Board of Directors",Peter Hess,"CEO Advent Software, Board of Directors",Doug Yokoyama,Senior Vice President and Chief Information Officer
RichRelevance,"=HYPERLINK(""http://www.richrelevance.com"")",415.956.1947,"=HYPERLINK(""https://www.google.com/maps/preview/place/'215 Lexington Ave Suite 1300 New York'"")",info@richrelevance.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+richrelevance"")",Mike DeCourcey,Vice President of Engineering and Co-Founder,Dave Selinger,Founder & CEO,David Selinger,CEO & Co-Founder
